,NOC,Year,Medal
25025,ITA,1908,
25026,VEN,1960,
25027,FRA,2000,Silver
25028,CMR,1988,
25029,ITA,1920,Gold
25030,MLT,1928,
25031,ROU,1996,
25032,YUG,1988,
25033,YUG,1988,
25034,SLO,1992,
25035,BUL,1980,Bronze
25036,ROU,1968,
25037,ROU,1924,
25038,MDA,1996,
25039,MDA,1996,
25040,NZL,2016,
25041,GBR,1948,Gold
25042,PHI,1964,
25043,AUS,1956,
25044,AUS,1956,
25045,AUS,1956,
25046,AUS,1956,
25047,AUS,1956,
25048,AUS,1956,
25049,AUS,1956,
25050,AUS,1956,
25051,AUS,1960,
25052,AUS,1960,
25053,AUS,1960,
25054,AUS,1960,
25055,AUS,1960,
25056,AUS,1960,
25057,AUS,1960,
25058,AUS,1964,
25059,AUS,1964,
25060,AUS,1964,
25061,AUS,1964,
25062,AUS,1964,
25063,AUS,1964,
25064,AUS,1964,
25065,AUS,1964,
25066,NZL,2008,
25067,NZL,2012,Gold
25068,NZL,2016,Gold
25069,ARG,1928,
25070,GBR,1928,
25071,CAN,1992,
25072,CAN,1996,
25073,GBR,2004,
25074,GBR,2012,
25075,ROU,1980,Bronze
25076,UKR,2012,
25077,UKR,2012,
25078,URS,1972,Gold
25079,URS,1976,Bronze
25080,RUS,2000,
25081,RUS,2000,Bronze
25082,RUS,2000,
25083,RUS,2000,Silver
25084,RUS,2000,
25085,RUS,2000,
25086,RUS,2000,
25087,RUS,2000,
25088,RUS,2004,
25089,RUS,2004,
25090,RUS,2004,
25091,RUS,2004,
25092,RUS,2004,
25093,RUS,2004,
25094,RUS,2004,
25095,RUS,2004,
25096,UKR,2008,
25097,UKR,2008,
25098,BLR,2016,
25099,UKR,2012,
25100,UKR,2016,Bronze
25101,URS,1956,
25102,URS,1960,
25103,UKR,2008,
25104,UKR,2008,
25105,UKR,2012,
25106,BLR,2000,
25107,URS,1988,Gold
25108,EUN,1992,
25109,UKR,2012,
25110,UKR,1996,
25111,UKR,1996,
25112,UKR,2000,
25113,UKR,2000,
25114,UKR,2004,
25115,UKR,2004,
25116,RUS,2016,
25117,UKR,1996,
25118,UKR,1996,
25119,KAZ,1996,
25120,KAZ,1996,
25121,KAZ,2000,
25122,KAZ,2000,
25124,BLR,1996,
25125,UKR,2008,
25126,UKR,2012,
25127,UKR,2016,
25128,DEN,1948,Silver
25129,SWE,1912,Gold
25130,SWE,1928,
25131,SWE,1928,Silver
25132,DEN,1996,
25133,DEN,2012,
25134,DEN,1920,
25135,DEN,1920,
25136,BUL,1988,
25137,HUN,1948,
25138,FRA,1932,Gold
25139,FRA,1936,Silver
25142,GER,1936,Silver
25143,USA,1964,
25144,FRA,1980,Silver
25145,FRA,1980,
25146,AUS,2016,
25147,GBR,1936,
25148,GBR,1936,
25149,LAT,1924,
25150,CAN,2008,
25151,GBR,1948,
25152,GER,1928,
25153,MLT,1996,
25154,MLT,2000,
25155,MLT,1984,
25156,ARG,1948,
25157,ARG,1960,
25158,ARG,1964,
25159,ARG,1972,
25164,ITA,2004,Bronze
25165,FRA,1976,
25166,GER,1928,
25167,ARG,1952,
25168,ITA,1924,
25169,BUL,1988,
25170,BUL,1988,
25171,BUL,2012,
25172,BUL,2012,
25173,BUL,2016,
25174,BUL,2016,
25175,IOA,2012,
25176,NED,2016,
25177,NED,2016,
25178,ITA,1906,
25179,ITA,1908,
25180,ITA,1912,
25181,ITA,1912,
25182,ITA,2012,
25183,ITA,1928,
25184,ITA,1928,
25185,ITA,1924,
25186,MEX,1928,
25187,ARG,1928,
25188,ITA,1996,
25189,BRA,2004,
25190,BRA,2004,
25191,BRA,2012,
25192,BRA,2016,
25193,BRA,2016,
25194,STP,2008,
25195,STP,2016,
25196,BRA,1988,
25197,BRA,1992,
25200,KOR,2008,Gold
25201,KOR,1960,
25202,SUI,1988,
25203,GER,2004,
25204,GER,2008,
25205,NED,1968,
25206,RSA,1956,
25207,ITA,1984,
25208,ITA,1952,
25209,ITA,1936,
25210,CAF,2008,
25211,USA,1904,
25212,USA,1906,
25213,USA,1906,
25214,USA,1906,Gold
25215,USA,1908,
25216,USA,1908,Silver
25217,USA,1912,
25218,USA,1912,Gold
25219,USA,1912,
25220,USA,1912,
25223,FRA,1906,
25225,ITA,1920,
25226,ITA,1924,
25227,ITA,1948,Bronze
25228,ITA,1912,
25229,ITA,1912,Gold
25233,POL,1952,
25234,POL,1952,
25235,SEY,1984,
25236,CAN,2008,
25237,ESP,1920,
25238,ESP,1920,
25239,ESP,1920,
25240,ESP,1920,
25241,ESP,1920,
25242,ESP,1920,
25243,ESP,1920,
25244,ESP,1920,
25245,ESP,1920,
25246,COL,2016,
25247,CRC,2000,
25248,CRC,2004,
25249,ECU,2016,
25250,COL,1988,
25251,GUA,1992,
25252,GUA,1992,
25253,GUA,1992,
25254,GUA,1992,
25255,GUA,1992,
25256,GUA,1992,
25257,GUA,1992,
25258,GUA,1996,
25259,FRA,1948,Gold
25260,ITA,2008,
25261,ITA,2016,
25262,FRA,1936,
25263,FRA,1948,
25264,ITA,2012,Bronze
25265,ITA,1980,
25266,ITA,1920,
25267,ITA,1920,
25268,ITA,1924,
25269,ARG,1984,
25270,FRA,1952,
25271,FRA,1952,
25272,FRA,1956,
25273,FRA,1956,
25274,ITA,1932,
25275,ITA,1936,
25276,ITA,1948,
25286,GER,2004,Gold
25287,GER,2008,
25288,ITA,1936,
25289,ITA,1936,
25290,POL,2008,
25291,POL,2012,Bronze
25292,POL,2016,
25293,GDR,1972,Bronze
25294,GDR,1976,Silver
25306,SUI,1924,
25307,FRA,1924,
25309,CUB,2012,
25310,CUB,2016,
25311,CUB,1992,
25312,CUB,1996,
25313,CUB,2000,
25314,CUB,2012,
25315,CUB,2016,
25316,FRA,1924,
25317,FRA,1908,
25318,FRA,1908,Bronze
25320,FRA,1996,
25321,FRA,2000,
25322,FRA,2004,
25323,DEN,1924,
25324,GBR,1988,
25325,FRA,1924,Silver
25326,FRA,1992,
25327,FRA,1992,
25328,FRA,1992,
25329,FRA,1992,
25330,FRA,2012,
25331,FRA,2012,Bronze
25332,FRA,2012,
25333,FRA,2016,
25334,FRA,2016,
25335,FRA,2016,
25336,FRA,2016,
25337,FRA,2016,
25338,FRA,1908,
25339,FRA,1908,
25340,FRA,1908,
25341,FRA,1972,
25342,FRA,1988,
25343,GER,1936,
25344,FRA,1960,
25345,PUR,1984,
25346,PUR,1988,
25351,ARG,1948,
25353,FRA,1936,
25354,GBR,1968,
25355,NED,1912,
25356,NED,1920,
25358,FRA,1948,Silver
25359,USA,1920,Silver
25360,GBR,1908,
25361,ARG,1948,
25362,ARG,1948,
25363,ARG,1948,
25364,ARG,1952,
25365,ARG,1952,
25366,NED,1952,
25367,FRA,1928,
25368,FRA,1928,
25369,FRA,1980,Gold
25370,FRA,1906,
25371,FRA,1908,
25372,FRA,1908,
25373,FRA,1908,Bronze
25374,FRA,1996,
25375,FRA,1972,
25376,FRA,1972,
25377,FRA,1976,
25378,FRA,1976,
25379,FRA,1976,
25380,ITA,1932,Silver
25381,ITA,1988,
25382,ITA,1988,
25383,ITA,1992,
25384,ITA,1996,Silver
25385,ITA,1996,Silver
25386,ITA,2000,
25387,ITA,2000,Gold
25388,ITA,2004,
25389,ITA,2004,Silver
25390,ITA,1992,
25392,ITA,1980,
25393,AUS,2008,
25394,AUS,2008,
25395,AUS,2008,
25396,AUS,2008,
25397,AUS,2008,
25398,AUS,2012,
25399,AUS,2012,
25400,AUS,2012,
25401,CUB,1976,
25402,ARG,1948,
25403,ARG,1948,
25404,ARG,1948,
25405,ARG,1948,
25406,ARG,1948,
25407,ARG,1948,
25408,ARG,1948,
25409,ARG,1948,
25410,ARG,1952,
25411,ARG,1952,
25412,ARG,1952,
25413,ARG,1952,
25414,ARG,1952,
25415,ARG,1952,
25416,ARG,1952,
25417,BUL,1924,
25418,BUL,1976,
25419,FRA,1928,
25428,USA,1948,
25429,USA,1948,
25430,USA,1948,
25431,USA,1948,
25432,USA,1948,
25433,USA,1948,
25434,USA,1948,
25435,USA,1948,
25437,USA,1920,
25438,USA,1920,Gold
25439,ITA,1912,
25440,ROU,1992,
25441,ROU,1992,Silver
25442,ROU,1992,Bronze
25443,ROU,1992,
25444,ROU,1992,
25445,ROU,1992,
25446,ROU,1992,
25447,NED,1948,
25448,USA,1924,
25449,USA,1924,
25450,NED,1964,
25451,NED,1964,
25452,NED,1964,
25453,ITA,1988,
25454,ITA,1980,
25455,ITA,1980,
25456,FRA,1992,
25457,FRA,2004,
25458,FRA,2008,Silver
25459,FRA,2012,
25460,FRA,1924,Bronze
25461,FRA,1924,
25462,USA,1952,Gold
25463,NED,1988,
25464,NED,1988,
25465,NED,1992,
25466,NED,1992,Silver
25467,NED,2000,
25468,NED,2000,Silver
25469,NED,2004,
25470,PHI,1956,
25471,BEL,1920,
25472,BEL,1920,
25473,BEL,1920,Bronze
25474,BEL,1924,
25475,BEL,1924,
25476,ARG,1928,
25477,ARG,1928,
25478,HUN,1980,
25479,COD,1996,
25480,FRA,1924,
25481,FRA,1928,
25482,FRA,1924,
25483,FRA,1928,
25486,MAS,1964,
25487,AUS,1996,
25488,NED,2004,
25489,NED,2000,
25490,NED,2000,Silver
25491,NED,2000,
25492,NED,2000,Bronze
25493,NED,2004,Silver
25494,NED,2008,Gold
25495,NZL,2004,
25497,USA,2016,
25498,USA,2016,
25499,NED,2000,
25500,NED,2012,
25501,NED,2012,
25502,NED,2000,Bronze
25503,NED,2004,Silver
25504,BEL,2012,
25505,BEL,2012,
25506,BEL,2016,Silver
25507,FRA,1948,
25508,FRA,1952,
25509,BEL,2012,
25510,THA,1976,
25511,THA,1976,
25512,THA,2004,Gold
25513,THA,2008,Silver
25514,THA,2008,
25515,THA,1984,
25516,THA,1992,
25517,THA,1992,
25518,BEL,1964,
25519,BEL,1924,
25520,THA,2008,
25521,THA,2012,
25522,THA,1992,
25523,NED,1980,
25524,NED,1980,
25525,NED,1980,
25526,NED,1920,
25527,NED,1920,
25535,THA,1972,
25536,THA,1976,
25537,THA,2012,
25538,USA,2000,
25539,USA,2004,
25540,AUT,1988,
25541,AUT,1992,
25542,AUT,1992,Silver
25543,THA,2004,Bronze
25546,SWE,1912,
25549,GBR,1968,
25550,NED,1924,Bronze
25551,NED,1924,
25552,NED,1928,
25553,NED,1928,
25554,NED,1928,
25555,NED,1928,
25556,NED,1928,
25557,NED,1928,
25558,NED,1928,
25559,NED,1928,
25560,NZL,1936,
25561,AUS,1956,
25566,USA,1932,Silver
25567,AUS,2012,
25568,AUS,2016,Silver
25569,RSA,2000,
25570,GBR,1968,
25571,GBR,1968,
25572,GBR,1968,
25573,GBR,1968,
25574,GBR,1968,
25575,GBR,1968,
25576,GBR,1968,
25577,AUS,1992,Bronze
25578,AUS,1996,Silver
25579,NED,2004,
25580,NED,2008,
25581,AUS,1984,
25582,AUS,1972,
25583,AUS,1972,
25584,AUS,1972,
25585,USA,1924,
25586,USA,1924,
25587,USA,1924,Silver
25588,AUS,1964,
25589,GBR,1908,Silver
25590,GBR,1908,
25591,GBR,1976,
25592,GBR,1980,
25593,USA,2012,
25594,USA,2012,Gold
25595,RSA,1952,
25596,RSA,1952,
25597,USA,1960,Gold
25598,USA,2004,Bronze
25599,USA,2008,Gold
25600,IND,2012,
25601,IND,2016,
25602,IND,2016,
25603,SUI,1920,
25604,TJK,2008,Bronze
25605,TJK,2012,
25606,TJK,1996,
25607,SWE,2000,Silver
25608,HUN,2008,
25609,HUN,2012,
25610,HUN,2016,
25611,USA,2016,
25612,HUN,2008,
25613,USA,1932,Bronze
25614,TUR,1972,
25615,TUR,1972,
25616,TUR,1976,
25617,TUR,1984,
25618,ROU,2000,
25619,GEQ,1984,
25620,GEQ,1988,
25621,USA,1972,
25622,USA,1972,
25623,USA,1928,
25624,USA,1928,Gold
25630,ROU,2000,
25631,CRO,1996,
25632,CRO,2000,Bronze
25633,CRO,2004,
25634,ISR,1968,
25635,HUN,1912,
25636,HUN,2008,
25637,NOR,2012,
25638,NOR,2016,Bronze
25639,GDR,1988,
25640,USA,1976,
25641,USA,1984,Silver
25642,BLR,2004,
25643,BRA,1948,
25644,GER,1908,
25645,GER,1992,Silver
25646,AUS,1996,
25647,AUS,1996,Bronze
25648,AUS,2000,Bronze
25649,AUS,2000,
25650,FRG,1976,
25651,NOR,1984,
25652,RUS,2008,Gold
25653,RUS,2012,
25654,GDR,1976,Gold
25655,GER,1932,
25656,GER,1932,Silver
25657,GER,1936,
25658,GER,1936,Bronze
25659,PHI,1936,
25668,MLT,1960,
25669,HUN,1968,
25670,HUN,1968,
25671,HUN,1968,
25672,HUN,1968,
25673,HUN,1968,
25674,HUN,1968,
25675,HUN,1968,
25676,HUN,1968,
25677,LUX,1912,
25678,LUX,1912,
25679,FRA,1960,
25680,HUN,1988,
25681,ESP,1984,
25682,FRA,1920,Silver
25683,FRA,1988,
25684,FRA,1988,
25685,FRA,1988,
25686,FRA,1992,
25687,FRA,1992,
25688,FRA,1996,
25689,FRA,1996,
25690,CAN,1984,
25692,USA,1996,
25693,USA,1996,Gold
25694,USA,1996,
25695,USA,1996,
25697,USA,1952,
25698,USA,2000,Gold
25702,CAN,1964,
25703,ROU,1956,
25704,FRA,1924,
25705,ITA,2016,
25706,ITA,1988,Gold
25707,ITA,1992,
25708,USA,1948,
25709,USA,1948,
25710,USA,1948,
25711,USA,1948,
25712,USA,1948,
25713,USA,1948,
25714,USA,1948,
25715,ITA,2004,
25716,ITA,2004,
25717,ITA,2008,
25718,ITA,2008,
25719,UKR,2000,
25720,KAZ,2008,
25721,CZE,2004,
25722,GBR,1984,
25723,USA,1932,
25724,USA,1932,
25725,USA,1932,
25726,USA,1932,
25727,USA,1932,
25728,USA,1932,
25729,FRA,2012,
25730,FRA,2016,
25731,FRA,2016,Gold
25732,TTO,2004,
25733,TTO,2008,
25734,TTO,2012,
25735,TTO,2016,
25736,ESP,1968,
25737,ITA,1984,
25738,ITA,1984,Gold
25739,ITA,1988,
25740,ITA,1988,
25741,ITA,1992,
25742,ITA,1992,
25743,ITA,1928,
25744,BRA,1984,
25745,ARG,2016,
25746,ARG,1968,
25747,ARG,1968,
25748,ARG,1972,
25749,ARG,1972,
25750,URS,1960,Gold
25751,URS,1964,
25752,BLR,2016,
25753,SWE,1924,
25754,SWE,1924,
25755,SWE,1924,Bronze
25756,SWE,1920,
25757,SWE,1920,
25758,SWE,1920,
25759,SWE,1924,
25760,SWE,1924,Silver
25761,SWE,1924,Silver
25762,SWE,1924,Bronze
25763,SWE,1928,Bronze
25764,SWE,1928,Gold
25765,SWE,1928,
25766,SWE,1936,
25767,SWE,1936,
25768,USA,1948,
25769,USA,1948,Silver
25770,USA,1952,
25771,USA,1952,
25772,USA,1956,
25773,USA,1936,
25774,MLT,2012,
25775,SWE,1996,
25776,SWE,1996,
25778,GER,2004,
25779,GER,2016,
25780,BRA,1948,
25781,BRA,1952,
25782,BRA,1952,
25783,CUB,1968,
25784,CUB,1968,
25785,DEN,1928,
25786,BRA,1984,
25787,BRA,2016,
25788,BRA,2016,
25789,BRA,1992,
25790,BRA,1992,Silver
25791,BRA,1992,
25792,BRA,1992,
25793,BRA,1992,
25794,BRA,1996,
25795,BRA,1996,Bronze
25796,BRA,1996,Silver
25797,BRA,1996,
25798,BRA,2000,
25799,BRA,2000,Bronze
25800,BRA,2000,
25801,BRA,2004,
25802,CUB,2008,
25803,CUB,2012,
25804,BRA,2016,
25805,BRA,2016,
25806,BRA,2016,
25807,BRA,2016,Gold
25808,BRA,2016,
25809,POR,1988,
25810,URU,1952,Bronze
25811,BRA,1964,
25812,BRA,1968,
25813,BRA,2004,
25814,ITA,1932,
25815,ITA,1932,
25816,USA,1976,
25818,ITA,1968,
25826,ITA,1980,
25828,BEL,1976,
25829,BEL,1980,
25830,ITA,1936,
25831,ARG,1972,
25832,ARG,1972,
25833,ARG,1972,
25834,SWE,1988,
25835,SWE,1992,
25836,USA,2004,
25837,FRG,1988,
25838,GER,1992,
25839,GER,1996,
25840,ITA,1960,
25841,ITA,1972,
25842,ITA,1972,
25843,ITA,1976,
25844,ARG,1924,
25846,GER,1928,
25847,GER,1928,
25848,SWE,1920,
25849,SWE,1924,
25850,NOR,1976,
25851,NOR,1976,
25852,NOR,1984,
25853,NOR,1984,
25854,NOR,1984,
25855,ISL,1980,
25856,ITA,1920,
25857,ITA,1920,
25858,ITA,1920,
25859,ITA,1936,
25860,RUS,1996,
25861,RUS,2000,
25862,RUS,2004,
25863,BLR,2016,
25864,FRA,1964,
25865,THA,1968,
25866,THA,1968,
25867,THA,1968,
25868,THA,1968,
25869,ITA,1984,
25870,FRA,1980,
25871,FRA,1980,
25872,KAZ,1996,
25873,KAZ,1996,
25874,KAZ,2000,
25875,KAZ,2000,
25876,URS,1952,
25877,BUL,1976,
25878,BUL,1976,
25879,BUL,1980,Bronze
25880,URS,1956,
25881,RUS,1912,
25882,RUS,1912,
25883,URS,1952,Silver
25886,RUS,2012,
25887,RUS,2012,
25888,KAZ,1996,
25889,KAZ,2000,
25890,KAZ,2000,
25891,KAZ,2004,
25892,URS,1956,Gold
25893,URS,1956,
25894,URS,1956,Silver
25895,URS,1960,Bronze
25896,URS,1960,
25897,RUS,2000,
25898,RUS,2004,
25899,BUL,1992,
25900,BUL,1992,
25901,RUS,2008,
25902,RUS,1996,
25903,RUS,2016,Bronze
25904,KGZ,2004,
25905,BUL,1980,Bronze
25906,FRA,1908,
25907,MEX,1936,Bronze
25908,MEX,1948,
25909,MEX,1952,
25910,MEX,1952,
25911,USA,1984,
25912,COL,2016,
25913,PHI,1972,
25914,PHI,1972,
25915,PHI,1976,
25916,PHI,1976,
25917,PHI,1976,
25918,PHI,1976,
25919,MEX,1936,Bronze
25920,MEX,1972,
25921,COL,2016,
25922,URU,1928,Gold
25925,SWE,1952,
25926,SWE,1912,
25928,SWE,1912,
25929,SWE,1952,
25930,HUN,1992,
25931,HUN,1988,
25932,HUN,1988,
25933,HUN,1988,
25934,HUN,1988,
25935,HUN,1988,
25936,HUN,1988,
25937,HUN,1988,
25938,HUN,1988,Gold
25939,GER,2000,Silver
25940,GER,2008,
25941,POL,1976,
25942,POL,1980,
25943,GER,1956,Silver
25945,BEL,2016,
25946,BEL,1980,
25947,BEL,2008,
25948,BEL,2008,
25949,BEL,2012,
25950,BEL,2012,
25951,BEL,2016,
25952,BEL,2016,
25953,BEL,2016,
25954,BEL,2008,
25955,BEL,2008,
25956,BEL,2012,
25957,BEL,2012,
25958,BEL,2016,
25959,BEL,2016,
25960,BEL,2008,Silver
25961,BEL,2016,
25962,HUN,1968,
25963,HUN,1968,
25964,HUN,1968,
25965,CUB,2012,
25966,ROU,1936,
25967,USA,2012,
25968,USA,2016,
25969,FRG,1972,
25970,FRG,1972,
25971,FRG,1976,
25972,FRG,1976,
25973,FRA,1900,
25974,FRA,1900,
25977,SUI,1992,
25978,SUI,1972,
25980,GER,1906,Gold
25981,GER,1906,
25982,GER,1992,
25983,GER,1996,
25984,GER,2000,
25985,USA,1906,
25986,USA,1906,
25987,USA,1906,
25988,SUI,1936,
25989,ROU,1996,
25990,AUT,1992,
25994,SUI,1924,
25995,SUI,1924,
25996,SUI,1924,
25997,AUS,1984,
25998,AUS,1988,
25999,AUS,1992,
26000,AUS,1996,
26001,FRA,1900,
26002,AUT,1924,
26003,AUT,1928,
26004,GER,1996,
26005,NZL,1976,
26006,FRG,1968,
26007,FRG,1968,
26008,GDR,1988,
26009,RSA,1992,
26010,ISR,2000,
26011,ISR,2000,
26012,ISR,2004,
26013,ISR,2004,
26015,KAZ,2000,
26016,RUS,2008,
26017,RUS,2012,
26018,KAZ,2000,
26019,LAT,2008,
26020,LAT,2012,
26021,LAT,2016,
26022,BLR,1996,
26023,BLR,1996,
26024,BLR,1996,
26025,UKR,2004,Bronze
26026,URS,1988,
26027,CAN,1992,
26028,CAN,1996,
26040,URS,1988,Gold
26041,ROU,1992,
26042,ROU,1996,
26043,GER,1992,Gold
26044,GER,1996,Gold
26045,GER,2000,Gold
26046,GER,2004,Gold
26047,GER,2008,Bronze
26048,AUS,1964,Bronze
26049,ROU,1980,Bronze
26050,ROU,1984,Bronze
26051,TCH,1968,
26052,HUN,1960,
26053,HUN,1960,
26054,HUN,2004,
26055,HUN,1956,Gold
26056,HUN,1960,Bronze
26057,HUN,1964,Gold
26058,HUN,1932,
26059,HUN,1932,
26060,HUN,1932,
26061,HUN,1932,
26062,HUN,1932,
26063,HUN,1932,
26064,HUN,1976,
26065,CRO,1996,
26066,CRO,1996,
26067,CRO,2000,
26068,CRO,2000,
26069,CRO,2004,
26070,CRO,2004,
26071,CRO,2008,
26072,CRO,2008,
26073,FRA,2008,
26074,FRA,1924,
26075,FRA,1924,
26076,FRA,1924,Bronze
26091,HUN,1936,
26092,GDR,1980,Silver
26093,GDR,1968,Bronze
26094,GDR,1972,Silver
26095,POL,1996,
26096,POL,1932,
26097,URS,1972,Gold
26098,CHI,1968,
26100,ARG,2008,
26101,POR,1984,
26102,ESP,1996,
26103,POR,1960,
26104,POR,1960,
26106,CUB,1980,
26107,CUB,1992,
26108,ESP,1972,
26109,NZL,2000,
26110,NZL,1968,
26111,NZL,1972,
26112,NZL,1972,
26113,NZL,1976,Gold
26114,CUB,2004,
26115,ARG,1996,
26116,CUB,2016,Gold
26117,CUB,2008,
26118,COL,1996,
26119,COL,1996,
26120,RSA,1996,
26121,RSA,1996,
26122,RSA,2000,
26123,GBR,1948,Silver
26124,NED,1976,
26125,NED,1980,
26126,ITA,1936,
26127,ITA,1948,
26128,ITA,1952,
26129,ITA,1956,
26130,FRA,1900,
26131,SWE,1960,
26132,FRG,1984,
26133,FRG,1984,Gold
26134,FRG,1988,Silver
26135,GER,1992,
26136,GER,1992,Gold
26137,GER,1996,
26138,GER,1996,
26139,MON,1976,
26140,IND,1984,
26141,CUB,1972,
26142,CUB,1976,
26143,CUB,2004,Gold
26144,CUB,1980,
26145,CUB,1980,
26146,AUS,2016,
26147,ROU,1976,
26148,ROU,1976,
26149,ROU,1976,
26150,ROU,1976,
26151,ROU,1976,
26152,ROU,1976,
26153,ROU,1976,
26154,ROU,1976,
26155,ROU,1996,Silver
26156,ITA,1928,
26157,HUN,1960,
26158,ITA,1932,Gold
26159,SUI,1928,
26160,SUI,1936,
26161,SUI,1936,
26162,SUI,1936,
26163,SUI,1936,
26164,SUI,1936,
26165,AUT,1936,
26166,AUT,1936,
26167,AUT,1936,
26168,AUT,1936,
26169,AUT,1936,
26170,AUT,1936,
26171,AUT,1936,
26172,AUT,1936,
26173,AUT,1936,
26174,AUT,1936,
26175,AUT,1948,
26176,AUT,1948,
26177,AUT,1948,
26178,AUT,1948,
26179,AUT,1948,
26180,ITA,1908,
26181,URS,1972,Bronze
26183,ALB,2012,
26184,CAN,1976,
26185,CAN,1976,
26186,CAN,1984,
26187,TCH,1992,
26188,SUI,2016,
26189,HUN,1992,
26192,URS,1976,
26193,GBR,2000,
26194,AUT,1952,
26195,AUT,1952,
26196,AUT,1952,
26197,AUT,1952,
26198,AUT,1956,
26199,AUT,1956,
26200,AUT,1956,
26201,GDR,1972,
26202,GDR,1972,
26203,NOR,1920,Gold
26207,URS,1964,Bronze
26208,RUS,2000,
26209,EUN,1992,
26210,ITA,1988,
26211,ITA,1984,
26212,ITA,1984,
26213,ITA,1984,
26214,ITA,1984,
26215,ITA,1984,
26216,ITA,1906,
26217,ITA,1984,
26218,ITA,1984,
26219,ITA,1936,
26220,ITA,1976,
26221,ITA,1976,
26222,ITA,1988,Silver
26223,ITA,1992,
26224,ITA,1992,Gold
26225,ITA,1996,Gold
26226,FRA,2012,
26227,ITA,1960,
26233,GER,1964,
26234,POL,1928,
26235,POL,1932,
26236,GER,1964,
26237,FRG,1968,
26238,IRI,1964,
26239,AUS,1956,
26240,GBR,1948,
26241,GBR,1948,
26242,SUI,1948,
26243,FRA,1924,
26244,USA,1948,Gold
26245,UKR,2004,Bronze
26246,URS,1988,Silver
26247,UKR,2012,
26248,UKR,2008,
26249,UKR,2008,
26250,UKR,2012,
26251,RUS,2000,
26252,RUS,2004,Gold
26253,RUS,2008,
26254,RUS,2012,
26255,POL,1924,
26256,POL,1924,
26257,POL,1924,
26258,EUN,1992,Bronze
26259,UZB,2004,
26260,UZB,2004,
26261,URS,1972,Gold
26262,URS,1972,Gold
26263,URS,1972,Silver
26264,URS,1976,Bronze
26265,URS,1976,Bronze
26266,UZB,2004,
26267,UZB,2012,
26268,UZB,2012,
26269,HUN,1948,
26270,HUN,1948,
26271,POL,1936,
26272,UKR,1996,
26273,GDR,1972,Bronze
26274,FRA,2000,
26281,NED,2004,
26287,NED,1960,
26288,NED,1964,Bronze
26289,NED,1984,
26290,NED,1968,
26291,NED,1968,
26292,NED,1968,
26293,NED,1968,
26294,USA,1960,
26295,NED,2004,Silver
26296,NED,2004,
26297,NED,2004,
26298,NED,2004,
26299,NED,2008,
26300,NED,2008,
26301,NED,2008,
26302,NED,2016,
26303,NED,2016,
26304,NED,2016,
26306,NED,2016,Silver
26307,NED,2008,Silver
26308,NED,2012,
26310,TCH,1952,
26311,TCH,1952,Bronze
26312,TCH,1952,
26313,TCH,1952,
26314,TCH,1952,
26315,TCH,1952,
26316,TCH,1952,
26317,TCH,1956,
26318,TCH,1956,
26319,TCH,1956,
26320,TCH,1956,
26321,TCH,1956,
26322,TCH,1956,
26323,TCH,1956,Silver
26324,TCH,1960,
26325,TCH,1960,Silver
26326,TCH,1960,
26327,TCH,1960,
26328,TCH,1960,
26329,TCH,1960,Gold
26330,ITA,1924,
26331,ITA,1960,Silver
26332,ITA,1964,Silver
26333,ITA,1968,Bronze
26334,ARG,1928,
26335,ARG,2016,
26336,ITA,1964,
26337,ITA,1964,
26338,ITA,1964,
26339,ITA,1968,
26340,ITA,1968,
26341,PUR,1992,
26342,ARG,1984,
26343,ARG,1984,
26344,ARG,1988,
26345,ARG,1988,
26346,RSA,2016,
26347,RSA,2016,
26348,NED,2000,
26349,NED,2004,Silver
26350,NED,2008,Bronze
26351,NED,2012,Bronze
26355,SUI,1928,Silver
26356,GER,1912,
26357,ARG,1928,
26361,FRA,1996,
26362,NED,1908,
26363,NED,1908,
26364,NED,1908,
26365,NED,1908,
26366,NED,1908,
26367,NED,1908,
26368,NED,1924,Bronze
26369,NED,1924,
26370,NED,1928,Silver
26371,NED,1928,Silver
26372,FRA,1980,Gold
26373,FRG,1968,
26374,NED,2000,
26375,NED,2004,
26376,NED,2004,
26377,NED,2004,
26378,FIN,2000,
26379,FIN,2000,
26380,IND,1948,
26381,IND,1952,
26382,FRG,1984,
26383,FRG,1968,Gold
26384,POL,1972,
26385,POL,1976,Gold
26386,POL,1980,
26387,NZL,1976,
26388,ITA,2012,
26389,ITA,2012,
26390,MKD,1996,
26391,MKD,1996,
26392,MKD,1996,
26393,MKD,2000,
26394,MKD,2000,
26395,MKD,2000,
26396,NED,1980,
26397,NED,1980,
26398,USA,2008,Gold
26403,ROU,1976,
26405,SUI,2008,
26406,SUI,1960,
26408,POR,2004,
26415,ITA,1968,Bronze
26416,SCG,2000,Gold
26417,YUG,1952,Silver
26418,CRO,2000,
26419,CRO,2008,
26420,CRO,2012,Gold
26421,SRB,2016,Silver
26422,FRA,2004,
26423,FRA,2008,
26424,FRA,2012,
26425,FRA,2016,
26426,ESP,1996,
26427,ESP,2000,
26428,ESP,2004,Silver
26429,NED,1972,
26430,BEL,1980,
26431,BEL,1980,
26432,BEL,1980,
26433,BEL,1908,
26434,BEL,1908,Bronze
26435,BEL,1936,
26436,BEL,1936,
26437,AUS,1992,
26438,SWE,2008,
26439,SWE,2012,
26440,BEL,1920,
26441,BEL,1920,Silver
26442,BEL,1924,
26443,BEL,1924,
