NOC,Year,Total_Gold,Total_Silver,Total_Bronze
BRA,2012,544.0,521.0,404.0
BRA,2016,544.0,521.0,404.0
BRN,2012,1200.0,1249.0,1238.0
BRN,2016,1200.0,1249.0,1238.0
BUL,1952,701.0,572.0,521.0
BUL,1956,701.0,572.0,521.0
BUL,1960,701.0,572.0,521.0
BUL,1964,701.0,572.0,521.0
BUL,1968,701.0,572.0,521.0
BUL,1972,701.0,572.0,521.0
BUL,1976,701.0,572.0,521.0
BUL,1980,701.0,572.0,521.0
BUL,1988,701.0,572.0,521.0
BUL,1992,701.0,572.0,521.0
BUL,1996,701.0,572.0,521.0
BUL,2000,701.0,572.0,521.0
BUL,2004,701.0,572.0,521.0
BUL,2008,701.0,572.0,521.0
BUL,2012,701.0,572.0,521.0
BUL,2016,701.0,572.0,521.0
CAN,1900,422.0,338.0,276.0
CAN,1904,422.0,338.0,276.0
CAN,1906,422.0,338.0,276.0
CAN,1908,422.0,338.0,276.0
CAN,1912,422.0,338.0,276.0
CAN,1920,422.0,338.0,276.0
CAN,1924,422.0,338.0,276.0
CAN,1928,422.0,338.0,276.0
CAN,1932,422.0,338.0,276.0
CAN,1936,422.0,338.0,276.0
CAN,1948,422.0,338.0,276.0
CAN,1952,422.0,338.0,276.0
CAN,1956,422.0,338.0,276.0
CAN,1960,422.0,338.0,276.0
CAN,1964,422.0,338.0,276.0
CAN,1968,422.0,338.0,276.0
CAN,1972,422.0,338.0,276.0
CAN,1976,422.0,338.0,276.0
CAN,1984,422.0,338.0,276.0
CAN,1988,422.0,338.0,276.0
CAN,1992,422.0,338.0,276.0
CAN,1996,422.0,338.0,276.0
CAN,2000,422.0,338.0,276.0
CAN,2004,422.0,338.0,276.0
CAN,2008,422.0,338.0,276.0
CAN,2012,422.0,338.0,276.0
CAN,2016,422.0,338.0,276.0
CHI,1928,1108.0,1033.0,953.0
CHI,1952,1108.0,1033.0,953.0
CHI,1956,1108.0,1033.0,953.0
CHI,1988,1108.0,1033.0,953.0
CHI,2000,1108.0,1033.0,953.0
CHI,2004,1108.0,1033.0,953.0
CHI,2008,1108.0,1033.0,953.0
CHN,1984,237.0,232.0,333.0
CHN,1988,237.0,232.0,333.0
CHN,1992,237.0,232.0,333.0
CHN,1996,237.0,232.0,333.0
CHN,2000,237.0,232.0,333.0
CHN,2004,237.0,232.0,333.0
CHN,2008,237.0,232.0,333.0
CHN,2012,237.0,232.0,333.0
CHN,2016,237.0,232.0,333.0
CIV,1984,1200.0,1249.0,1238.0
CIV,2016,1200.0,1249.0,1238.0
CMR,1968,861.0,1249.0,1238.0
CMR,1984,861.0,1249.0,1238.0
CMR,2000,861.0,1249.0,1238.0
CMR,2004,861.0,1249.0,1238.0
CMR,2008,861.0,1249.0,1238.0
COL,1900,1051.0,1033.0,1022.0
COL,1972,1051.0,1033.0,1022.0
COL,1984,1051.0,1033.0,1022.0
COL,1988,1051.0,1033.0,1022.0
COL,1992,1051.0,1033.0,1022.0
COL,2000,1051.0,1033.0,1022.0
COL,2004,1051.0,1033.0,1022.0
COL,2008,1051.0,1033.0,1022.0
COL,2012,1051.0,1033.0,1022.0
COL,2016,1051.0,1033.0,1022.0
CRC,1988,1200.0,1249.0,1199.0
CRC,1996,1200.0,1249.0,1199.0
CRC,2000,1200.0,1249.0,1199.0
CRO,1992,685.0,730.0,812.0
CRO,1996,685.0,730.0,812.0
CRO,2000,685.0,730.0,812.0
CRO,2004,685.0,730.0,812.0
CRO,2008,685.0,730.0,812.0
CRO,2012,685.0,730.0,812.0
CRO,2016,685.0,730.0,812.0
CUB,1900,376.0,587.0,583.0
